Year,Month,Day,Sum of Total_Bookings,Sum of adr,Sum of revenue,Cancellation %
2015,May,2,,12128100.03,32877649.66,0.371373064
2015,May,3,,12128100.03,32877649.66,0.371373064
2015,May,4,,12128100.03,32877649.66,0.371373064
2015,May,5,,12128100.03,32877649.66,0.371373064
2015,May,6,,12128100.03,32877649.66,0.371373064
2015,May,7,,12128100.03,32877649.66,0.371373064
2015,May,8,,12128100.03,32877649.66,0.371373064
2015,May,9,,12128100.03,32877649.66,0.371373064
2015,May,10,,12128100.03,32877649.66,0.371373064
2015,May,11,,12128100.03,32877649.66,0.371373064
2015,May,12,,12128100.03,32877649.66,0.371373064
2015,May,13,,12128100.03,32877649.66,0.371373064
2015,May,14,,12128100.03,32877649.66,0.371373064
2015,May,15,,12128100.03,32877649.66,0.371373064
2015,May,16,,12128100.03,32877649.66,0.371373064
2015,May,17,,12128100.03,32877649.66,0.371373064
2015,May,18,,12128100.03,32877649.66,0.371373064
2015,May,19,,12128100.03,32877649.66,0.371373064
2015,May,20,,12128100.03,32877649.66,0.371373064
2015,May,21,,12128100.03,32877649.66,0.371373064
2015,May,22,,12128100.03,32877649.66,0.371373064
2015,May,23,,12128100.03,32877649.66,0.371373064
2015,May,24,,12128100.03,32877649.66,0.371373064
2015,May,25,,12128100.03,32877649.66,0.371373064
2015,May,26,,12128100.03,32877649.66,0.371373064
2015,May,27,,12128100.03,32877649.66,0.371373064
2015,May,28,,12128100.03,32877649.66,0.371373064
2015,May,29,,12128100.03,32877649.66,0.371373064
2015,May,30,,12128100.03,32877649.66,0.371373064
2015,May,31,,12128100.03,32877649.66,0.371373064
2015,June,1,,12128100.03,32877649.66,0.371373064
2015,June,2,,12128100.03,32877649.66,0.371373064
2015,June,3,,12128100.03,32877649.66,0.371373064
2015,June,4,,12128100.03,32877649.66,0.371373064
2015,June,5,,12128100.03,32877649.66,0.371373064
2015,June,6,,12128100.03,32877649.66,0.371373064
2015,June,7,,12128100.03,32877649.66,0.371373064
2015,June,8,,12128100.03,32877649.66,0.371373064
2015,June,9,,12128100.03,32877649.66,0.371373064
2015,June,10,,12128100.03,32877649.66,0.371373064
2015,June,11,,12128100.03,32877649.66,0.371373064
2015,June,12,,12128100.03,32877649.66,0.371373064
2015,June,13,,12128100.03,32877649.66,0.371373064
2015,June,14,,12128100.03,32877649.66,0.371373064
2015,June,15,,12128100.03,32877649.66,0.371373064
2015,June,16,,12128100.03,32877649.66,0.371373064
2015,June,17,,12128100.03,32877649.66,0.371373064
2015,June,18,,12128100.03,32877649.66,0.371373064
2015,June,19,,12128100.03,32877649.66,0.371373064
2015,June,20,,12128100.03,32877649.66,0.371373064
2015,June,21,,12128100.03,32877649.66,0.371373064
2015,June,22,,12128100.03,32877649.66,0.371373064
2015,June,23,,12128100.03,32877649.66,0.371373064
2015,June,24,,12128100.03,32877649.66,0.371373064
2015,June,25,,12128100.03,32877649.66,0.371373064
2015,June,26,,12128100.03,32877649.66,0.371373064
2015,June,27,,12128100.03,32877649.66,0.371373064
2015,June,28,,12128100.03,32877649.66,0.371373064
2015,June,29,,12128100.03,32877649.66,0.371373064
2015,June,30,,12128100.03,32877649.66,0.371373064
2015,July,1,,12128100.03,32877649.66,0.371373064
2015,July,2,,12128100.03,32877649.66,0.371373064
2015,July,3,,12128100.03,32877649.66,0.371373064
2015,July,4,,12128100.03,32877649.66,0.371373064
2015,July,5,,12128100.03,32877649.66,0.371373064
2015,July,6,,12128100.03,32877649.66,0.371373064
2015,July,7,,12128100.03,32877649.66,0.371373064
2015,July,8,,12128100.03,32877649.66,0.371373064
2015,July,9,,12128100.03,32877649.66,0.371373064
2015,July,10,,12128100.03,32877649.66,0.371373064
2015,July,11,,12128100.03,32877649.66,0.371373064
2015,July,12,,12128100.03,32877649.66,0.371373064
2015,July,13,,12128100.03,32877649.66,0.371373064
2015,July,14,,12128100.03,32877649.66,0.371373064
2015,July,15,,12128100.03,32877649.66,0.371373064
2015,July,16,,12128100.03,32877649.66,0.371373064
2015,July,17,,12128100.03,32877649.66,0.371373064
2015,July,18,,12128100.03,32877649.66,0.371373064
2015,July,19,,12128100.03,32877649.66,0.371373064
2015,July,20,,12128100.03,32877649.66,0.371373064
2015,July,21,,12128100.03,32877649.66,0.371373064
2015,July,22,,12128100.03,32877649.66,0.371373064
2015,July,23,,12128100.03,32877649.66,0.371373064
2015,July,24,,12128100.03,32877649.66,0.371373064
2015,July,25,,12128100.03,32877649.66,0.371373064
2015,July,26,,12128100.03,32877649.66,0.371373064
2015,July,27,,12128100.03,32877649.66,0.371373064
2015,July,28,,12128100.03,32877649.66,0.371373064
2015,July,29,,12128100.03,32877649.66,0.371373064
2015,July,30,,12128100.03,32877649.66,0.371373064
2015,August,1,,12128100.03,32877649.66,0.371373064
2015,August,2,,12128100.03,32877649.66,0.371373064
2015,August,3,,12128100.03,32877649.66,0.371373064
2015,August,4,,12128100.03,32877649.66,0.371373064
2015,August,5,,12128100.03,32877649.66,0.371373064
2015,August,6,,12128100.03,32877649.66,0.371373064
2015,August,7,,12128100.03,32877649.66,0.371373064
2015,August,8,,12128100.03,32877649.66,0.371373064
2015,August,9,,12128100.03,32877649.66,0.371373064
2015,August,10,,12128100.03,32877649.66,0.371373064
2015,August,11,,12128100.03,32877649.66,0.371373064
2015,August,12,,12128100.03,32877649.66,0.371373064
2015,August,13,,12128100.03,32877649.66,0.371373064
2015,August,14,,12128100.03,32877649.66,0.371373064
2015,August,15,,12128100.03,32877649.66,0.371373064
2015,August,16,,12128100.03,32877649.66,0.371373064
2015,August,17,,12128100.03,32877649.66,0.371373064
2015,August,18,,12128100.03,32877649.66,0.371373064
2015,August,19,,12128100.03,32877649.66,0.371373064
2015,August,20,,12128100.03,32877649.66,0.371373064
2015,August,21,,12128100.03,32877649.66,0.371373064
2015,August,22,,12128100.03,32877649.66,0.371373064
2015,August,23,,12128100.03,32877649.66,0.371373064
2015,August,24,,12128100.03,32877649.66,0.371373064
2015,August,25,,12128100.03,32877649.66,0.371373064
2015,August,26,,12128100.03,32877649.66,0.371373064
2015,August,27,,12128100.03,32877649.66,0.371373064
2015,August,28,,12128100.03,32877649.66,0.371373064
